vehicle_model,vehicle_usage_type,ambient_temp_c,engine_temp_c,avg_engine_rpm,engine_load_nm,engine_hours,maintenance_required,TWF,HDF,PWF,OSF,RNF,fault_code_count,mileage_km,usage_intensity,days_to_failure
L47211,L,25.850000000000023,36.25,1798,25.5,89,0,0,0,0,0,0,0,4005,0.2833333333333333,267
L47212,L,25.850000000000023,36.25,1419,48.3,91,0,0,0,0,0,0,0,4095,0.525,174
L47213,L,25.75,36.150000000000034,1665,32.5,93,0,0,0,0,0,0,0,4185,0.34574468085106386,312
M14894,M,25.650000000000034,35.950000000000045,1559,34.7,95,0,0,0,0,0,0,0,4275,0.3614583333333334,292
M14895,M,25.650000000000034,36.05000000000001,1452,48.6,98,0,0,0,0,0,0,0,4410,0.4909090909090909,232
M14896,M,25.75,36.05000000000001,1581,36.7,101,0,0,0,0,0,0,0,4545,0.3598039215686275,207
L47217,L,25.650000000000034,35.950000000000045,1439,39.2,104,0,0,0,0,0,0,0,4680,0.37333333333333335,230
H29452,H,25.75,36.05000000000001,1379,50.7,106,0,0,0,0,0,0,0,4770,0.4738317757009346,282
L47219,L,25.650000000000034,35.950000000000045,1350,52.5,111,0,0,0,0,0,0,0,4995,0.46875,262
L47220,L,25.650000000000034,35.950000000000045,1362,45.4,113,0,0,0,0,0,0,0,5085,0.3982456140350877,276
L47221,L,25.650000000000034,35.950000000000045,1368,50.8,115,0,0,0,0,0,0,0,5175,0.4379310344827586,298
M14902,M,25.650000000000034,35.950000000000045,1368,49.1,117,0,0,0,0,0,0,0,5265,0.4161016949152542,234
H29457,H,25.650000000000034,36.05000000000001,1372,48.5,120,0,0,0,0,0,0,0,5400,0.40082644628099173,246
M14904,M,25.650000000000034,35.950000000000045,1472,47.5,125,0,0,0,0,0,0,0,5625,0.376984126984127,248
L47225,L,25.650000000000034,35.950000000000045,1489,49.1,128,0,0,0,0,0,0,0,5760,0.3806201550387597,335
M14906,M,25.55000000000001,35.85000000000002,1843,25.8,130,0,0,0,0,0,0,0,5850,0.1969465648854962,234
L47227,L,25.650000000000034,35.950000000000045,1418,46.3,133,0,0,0,0,0,0,0,5985,0.3455223880597015,298
H29462,H,25.650000000000034,36.05000000000001,1425,53.9,135,0,0,0,0,0,0,0,6075,0.3963235294117647,180
M14909,M,25.75,36.05000000000001,1412,44.1,140,0,0,0,0,0,0,0,6300,0.3127659574468085,346
L47230,L,25.75,35.950000000000045,2861,4.6,143,1,0,0,1,0,0,1,6435,0.03194444444444444,59
L47231,L,25.75,35.950000000000045,1383,54.9,145,0,0,0,0,0,0,0,6525,0.37602739726027395,199
H29466,H,25.650000000000034,35.85000000000002,1497,43.8,147,0,0,0,0,0,0,0,6615,0.2959459459459459,306
L47233,L,25.55000000000001,35.85000000000002,1565,35.1,152,0,0,0,0,0,0,0,6840,0.22941176470588237,171
L47234,L,25.55000000000001,35.85000000000002,1691,30.1,154,0,0,0,0,0,0,0,6930,0.1941935483870968,359
L47235,L,25.650000000000034,35.950000000000045,1512,40.7,156,0,0,0,0,0,0,0,7020,0.2592356687898089,155
L47236,L,25.650000000000034,35.950000000000045,1477,42.4,158,0,0,0,0,0,0,0,7110,0.26666666666666666,289
L47237,L,25.650000000000034,35.950000000000045,1513,40.3,160,0,0,0,0,0,0,0,7200,0.2503105590062112,194
M14918,M,25.650000000000034,35.85000000000002,1661,29.5,162,0,0,0,0,0,0,0,7290,0.18098159509202455,276
L47239,L,25.650000000000034,35.950000000000045,1378,54.4,165,0,0,0,0,0,0,0,7425,0.327710843373494,203
L47240,L,25.650000000000034,35.950000000000045,1393,52.6,167,0,0,0,0,0,0,0,7515,0.3130952380952381,353
M14921,M,25.650000000000034,35.85000000000002,1592,38.2,169,0,0,0,0,0,0,0,7605,0.2247058823529412,359
L47242,L,25.650000000000034,35.85000000000002,1829,22.9,172,0,0,0,0,0,0,0,7740,0.13236994219653178,323
M14923,M,25.75,35.85000000000002,1812,25.9,174,0,0,0,0,0,0,0,7830,0.148,278
L47244,L,25.850000000000023,35.950000000000045,1523,38.6,177,0,0,0,0,0,0,0,7965,0.21685393258426966,247
L47245,L,25.850000000000023,35.950000000000045,1394,45.1,179,0,0,0,0,0,0,0,8055,0.2505555555555556,241
M14926,M,25.75,35.75,1679,28.7,181,0,0,0,0,0,0,0,8145,0.1576923076923077,316
H29481,H,25.650000000000034,35.75,1466,44.1,184,0,0,0,0,0,0,0,8280,0.23837837837837839,167
L47248,L,25.650000000000034,35.75,1527,32.4,189,0,0,0,0,0,0,0,8505,0.17052631578947366,301
L47249,L,25.75,35.85000000000002,1410,65.7,191,1,0,0,1,1,0,1,8595,0.34218750000000003,32
M14930,M,25.75,35.85000000000002,1924,22.6,193,0,0,0,0,0,0,0,8685,0.11649484536082474,354
L47251,L,25.75,35.950000000000045,1452,45.5,196,0,0,0,0,0,0,0,8820,0.23096446700507614,156
L47252,L,25.75,35.950000000000045,1369,44.4,198,0,0,0,0,0,0,0,8910,0.22311557788944722,270
L47253,L,25.850000000000023,35.950000000000045,1592,35.0,200,0,0,0,0,0,0,0,9000,0.17412935323383086,179
L47254,L,25.75,35.85000000000002,1601,32.3,202,0,0,0,0,0,0,0,9090,0.15911330049261083,228
L47255,L,25.650000000000034,35.75,1379,46.7,204,0,0,0,0,0,0,0,9180,0.2278048780487805,199
L47256,L,25.650000000000034,35.75,1461,47.9,206,0,0,0,0,0,0,0,9270,0.23140096618357486,361
L47257,L,25.650000000000034,35.75,1455,41.3,208,1,1,0,0,0,0,1,9360,0.19760765550239234,49
L47258,L,25.650000000000034,35.75,1398,51.5,0,0,0,0,0,0,0,0,0,51.5,318
L47259,L,25.650000000000034,35.75,1402,37.9,2,0,0,0,0,0,0,0,90,12.633333333333333,314
H29494,H,25.650000000000034,35.650000000000034,1445,49.9,4,0,0,0,0,0,0,0,180,9.98,272
L47261,L,25.75,35.75,1450,47.5,9,0,0,0,0,0,0,0,405,4.75,285
L47262,L,25.75,35.75,1453,40.8,11,0,0,0,0,0,0,0,495,3.4,261
L47263,L,25.850000000000023,35.85000000000002,1469,40.1,13,0,0,0,0,0,0,0,585,2.8642857142857143,176
L47264,L,25.75,35.75,1422,47.6,15,0,0,0,0,0,0,0,675,2.975,312
M14945,M,25.850000000000023,35.85000000000002,1804,26.8,17,0,0,0,0,0,0,0,765,1.488888888888889,348
H29500,H,25.850000000000023,35.85000000000002,1436,43.9,20,0,0,0,0,0,0,0,900,2.0904761904761906,352
L47267,L,25.850000000000023,35.85000000000002,1544,31.8,25,0,0,0,0,0,0,0,1125,1.2230769230769232,335
M14948,M,25.850000000000023,35.85000000000002,1419,45.2,27,0,0,0,0,0,0,0,1215,1.6142857142857143,358
M14949,M,25.75,35.75,1487,39.5,30,0,0,0,0,0,0,0,1350,1.2741935483870968,343
L47270,L,25.75,35.75,1753,25.8,33,0,0,0,0,0,0,0,1485,0.7588235294117647,250
L47271,L,25.75,35.75,1830,24.9,35,0,0,0,0,0,0,0,1575,0.6916666666666667,178
M14952,M,25.75,35.75,1727,27.1,37,0,0,0,0,0,0,0,1665,0.7131578947368421,293
L47273,L,25.950000000000045,35.85000000000002,1450,43.0,40,0,0,0,0,0,0,0,1800,1.048780487804878,205
L47274,L,25.850000000000023,35.75,1622,31.9,42,0,0,0,0,0,0,0,1890,0.741860465116279,294
M14955,M,25.850000000000023,35.85000000000002,1351,52.2,44,0,0,0,0,0,0,0,1980,1.1600000000000001,287
M14956,M,25.850000000000023,35.85000000000002,1575,35.3,47,0,0,0,0,0,0,0,2115,0.7354166666666666,340
M14957,M,25.75,35.75,1750,29.9,50,0,0,0,0,0,0,0,2250,0.5862745098039216,256
L47278,L,25.75,35.650000000000034,1529,32.7,53,0,0,0,0,0,0,0,2385,0.6055555555555556,360
L47279,L,25.650000000000034,35.650000000000034,1523,44.4,55,0,0,0,0,0,0,0,2475,0.7928571428571428,160
L47280,L,25.650000000000034,35.75,1852,25.0,57,0,0,0,0,0,0,0,2565,0.43103448275862066,167
L47281,L,25.650000000000034,35.650000000000034,1991,20.7,59,0,0,0,0,0,0,0,2655,0.345,183
L47282,L,25.650000000000034,35.650000000000034,1555,40.6,61,0,0,0,0,0,0,0,2745,0.6548387096774194,191
M14963,M,25.650000000000034,35.650000000000034,1441,40.5,63,0,0,0,0,0,0,0,2835,0.6328125,194
L47284,L,25.650000000000034,35.55000000000001,1450,43.4,66,0,0,0,0,0,0,0,2970,0.6477611940298508,208
L47285,L,25.650000000000034,35.55000000000001,1591,31.1,68,0,0,0,0,0,0,0,3060,0.45072463768115945,293
L47286,L,25.650000000000034,35.55000000000001,1445,48.5,70,0,0,0,0,0,0,0,3150,0.6830985915492958,340
M14967,M,25.650000000000034,35.650000000000034,1497,46.8,72,0,0,0,0,0,0,0,3240,0.6410958904109588,261
H29522,H,25.75,35.650000000000034,1621,32.7,75,0,0,0,0,0,0,0,3375,0.4302631578947369,331
L47289,L,25.75,35.55000000000001,1572,34.1,80,0,0,0,0,0,0,0,3600,0.42098765432098767,361
L47290,L,25.650000000000034,35.450000000000045,1872,22.5,82,0,0,0,0,0,0,0,3690,0.2710843373493976,271
H29525,H,25.55000000000001,35.450000000000045,1499,43.5,84,0,0,0,0,0,0,0,3780,0.5117647058823529,334
M14972,M,25.650000000000034,35.55000000000001,1498,39.5,89,0,0,0,0,0,0,0,4005,0.4388888888888889,354
M14973,M,25.650000000000034,35.450000000000045,1486,41.9,92,0,0,0,0,0,0,0,4140,0.4505376344086021,209
L47294,L,25.650000000000034,35.450000000000045,1680,29.4,95,0,0,0,0,0,0,0,4275,0.30624999999999997,332
L47295,L,25.650000000000034,35.450000000000045,1431,45.7,97,0,0,0,0,0,0,0,4365,0.46632653061224494,235
L47296,L,25.75,35.55000000000001,1564,34.1,99,0,0,0,0,0,0,0,4455,0.341,247
L47297,L,25.650000000000034,35.450000000000045,1599,33.0,101,0,0,0,0,0,0,0,4545,0.3235294117647059,214
M14978,M,25.650000000000034,35.450000000000045,1707,28.1,103,0,0,0,0,0,0,0,4635,0.27019230769230773,263
L47299,L,25.55000000000001,35.35000000000002,1467,40.7,106,0,0,0,0,0,0,0,4770,0.38037383177570094,282
L47300,L,25.75,35.55000000000001,1433,44.7,108,0,0,0,0,0,0,0,4860,0.4100917431192661,338
L47301,L,25.75,35.55000000000001,1558,41.2,110,0,0,0,0,0,0,0,4950,0.3711711711711712,249
L47302,L,25.850000000000023,35.650000000000034,1310,50.7,112,0,0,0,0,0,0,0,5040,0.44867256637168146,200
L47303,L,25.75,35.55000000000001,1546,43.4,114,0,0,0,0,0,0,0,5130,0.3773913043478261,225
L47304,L,25.75,35.55000000000001,1727,29.4,116,0,0,0,0,0,0,0,5220,0.2512820512820513,322
L47305,L,25.75,35.450000000000045,1560,32.2,118,0,0,0,0,0,0,0,5310,0.2705882352941177,215
L47306,L,25.850000000000023,35.450000000000045,1329,60.5,120,0,0,0,0,0,0,0,5400,0.5,187
L47307,L,25.75,35.450000000000045,1413,46.5,122,0,0,0,0,0,0,0,5490,0.3780487804878049,215
L47308,L,25.850000000000023,35.450000000000045,1587,38.6,124,0,0,0,0,0,0,0,5580,0.3088,226
L47309,L,25.75,35.35000000000002,1559,34.3,126,0,0,0,0,0,0,0,5670,0.2700787401574803,291
L47310,L,25.650000000000034,35.25,1473,41.1,128,0,0,0,0,0,0,0,5760,0.3186046511627907,238
L47311,L,25.650000000000034,35.25,1737,27.7,130,0,0,0,0,0,0,0,5850,0.21145038167938932,160
M14992,M,25.55000000000001,35.25,1441,43.2,132,0,0,0,0,0,0,0,5940,0.324812030075188,290
M14993,M,25.55000000000001,35.25,1430,49.6,135,0,0,0,0,0,0,0,6075,0.3647058823529412,320
L47314,L,25.650000000000034,35.25,1369,53.0,138,0,0,0,0,0,0,0,6210,0.381294964028777,319
M14995,M,25.650000000000034,35.35000000000002,1711,28.5,140,0,0,0,0,0,0,0,6300,0.20212765957446807,251
H29550,H,25.55000000000001,35.35000000000002,1420,45.7,143,0,0,0,0,0,0,0,6435,0.31736111111111115,303
L47317,L,25.55000000000001,35.450000000000045,1297,55.3,148,0,0,0,0,0,0,0,6660,0.3711409395973154,215
H29552,H,25.650000000000034,35.450000000000045,1449,49.4,150,0,0,0,0,0,0,0,6750,0.3271523178807947,157
L47319,L,25.650000000000034,35.450000000000045,1268,55.8,155,0,0,0,0,0,0,0,6975,0.3576923076923077,339
L47320,L,25.650000000000034,35.450000000000045,1511,36.1,157,0,0,0,0,0,0,0,7065,0.22848101265822784,293
L47321,L,25.55000000000001,35.35000000000002,1544,35.2,159,0,0,0,0,0,0,0,7155,0.22000000000000003,269
M15002,M,25.450000000000045,35.25,1778,28.2,161,0,0,0,0,0,0,0,7245,0.17407407407407408,320
H29557,H,25.450000000000045,35.25,1407,50.5,164,0,0,0,0,0,0,0,7380,0.30606060606060603,312
M15004,M,25.450000000000045,35.25,1391,42.4,169,0,0,0,0,0,0,0,7605,0.24941176470588233,181
L47325,L,25.350000000000023,35.25,1513,33.6,172,0,0,0,0,0,0,0,7740,0.19421965317919077,343
H29560,H,25.350000000000023,35.25,1612,36.1,174,0,0,0,0,0,0,0,7830,0.2062857142857143,304
L47327,L,25.25,35.25,1515,40.1,179,0,0,0,0,0,0,0,8055,0.2227777777777778,308
M15008,M,25.150000000000034,35.150000000000034,1379,48.0,181,0,0,0,0,0,0,0,8145,0.26373626373626374,189
L47329,L,25.25,35.150000000000034,1473,39.9,184,0,0,0,0,0,0,0,8280,0.21567567567567567,176
L47330,L,25.25,35.150000000000034,1422,42.7,186,0,0,0,0,0,0,0,8370,0.22834224598930483,150
M15011,M,25.25,35.05000000000001,1463,37.6,188,0,0,0,0,0,0,0,8460,0.19894179894179895,189
M15012,M,25.25,35.05000000000001,1584,41.0,191,0,0,0,0,0,0,0,8595,0.21354166666666666,208
L47333,L,25.25,35.05000000000001,1850,27.0,194,0,0,0,0,0,0,0,8730,0.13846153846153847,251
L47334,L,25.25,35.05000000000001,1528,36.2,196,0,0,0,0,0,0,0,8820,0.18375634517766498,275
H29569,H,25.25,35.05000000000001,1987,19.8,198,0,0,0,0,0,0,0,8910,0.09949748743718594,152
M15016,M,25.25,34.950000000000045,1495,46.0,203,0,0,0,0,0,0,0,9135,0.22549019607843138,292
H29571,H,25.25,35.05000000000001,1478,43.5,206,0,0,0,0,0,0,0,9270,0.21014492753623187,206
M15018,M,25.25,35.05000000000001,1499,40.0,211,0,0,0,0,0,0,0,9495,0.18867924528301888,209
L47339,L,25.25,35.05000000000001,1471,47.0,214,0,0,0,0,0,0,0,9630,0.2186046511627907,168
L47340,L,25.25,35.05000000000001,1282,60.7,216,1,0,0,0,1,0,1,9720,0.2797235023041475,39
L47341,L,25.150000000000034,34.950000000000045,1412,52.3,218,1,0,0,0,1,0,1,9810,0.23881278538812784,44
L47342,L,25.150000000000034,34.950000000000045,1586,35.5,0,0,0,0,0,0,0,0,0,35.5,247
M15023,M,25.25,35.05000000000001,1468,43.8,2,0,0,0,0,0,0,0,90,14.6,152
M15024,M,25.350000000000023,35.150000000000034,1440,43.6,5,0,0,0,0,0,0,0,225,7.266666666666667,297
L47345,L,25.350000000000023,35.25,1733,26.0,8,0,0,0,0,0,0,0,360,2.888888888888889,154
H29580,H,25.25,35.05000000000001,1612,32.6,10,0,0,0,0,0,0,0,450,2.963636363636364,186
H29581,H,25.25,35.150000000000034,1458,42.9,15,0,0,0,0,0,0,0,675,2.68125,203
L47348,L,25.25,35.150000000000034,1433,62.3,20,1,0,0,1,0,0,1,900,2.9666666666666663,50
L47349,L,25.25,35.150000000000034,1318,59.1,22,0,0,0,0,0,0,0,990,2.5695652173913044,213
M15030,M,25.25,35.05000000000001,1610,35.0,24,0,0,0,0,0,0,0,1080,1.4,150
L47351,L,25.05000000000001,34.950000000000045,1462,50.8,27,0,0,0,0,0,0,0,1215,1.8142857142857143,200
M15032,M,24.950000000000045,34.85000000000002,1924,20.8,29,0,0,0,0,0,0,0,1305,0.6933333333333334,342
M15033,M,25.05000000000001,34.85000000000002,1591,33.7,32,0,0,0,0,0,0,0,1440,1.0212121212121212,218
L47354,L,25.05000000000001,34.950000000000045,1306,58.3,35,0,0,0,0,0,0,0,1575,1.6194444444444445,155
L47355,L,25.05000000000001,34.950000000000045,1382,43.5,37,0,0,0,0,0,0,0,1665,1.144736842105263,289
L47356,L,25.05000000000001,34.950000000000045,1618,34.7,39,0,0,0,0,0,0,0,1755,0.8675,237
L47357,L,25.05000000000001,35.05000000000001,1988,21.4,41,0,0,0,0,0,0,0,1845,0.5095238095238095,279
L47358,L,25.05000000000001,35.05000000000001,1436,50.2,43,0,0,0,0,0,0,0,1935,1.1409090909090909,297
L47359,L,25.05000000000001,35.150000000000034,1304,49.8,45,0,0,0,0,0,0,0,2025,1.0826086956521739,330
L47360,L,25.05000000000001,35.150000000000034,1475,49.9,47,0,0,0,0,0,0,0,2115,1.0395833333333333,321
H29595,H,25.05000000000001,35.150000000000034,1824,24.2,49,0,0,0,0,0,0,0,2205,0.484,308
M15042,M,24.950000000000045,35.05000000000001,1342,48.1,54,0,0,0,0,0,0,0,2430,0.8745454545454546,233
L47363,L,24.950000000000045,35.05000000000001,1485,40.7,57,0,0,0,0,0,0,0,2565,0.7017241379310345,247
L47364,L,25.05000000000001,35.05000000000001,1667,30.6,59,0,0,0,0,0,0,0,2655,0.51,191
L47365,L,25.05000000000001,35.05000000000001,1446,38.2,61,0,0,0,0,0,0,0,2745,0.6161290322580646,189
L47366,L,24.950000000000045,35.150000000000034,1301,56.0,63,0,0,0,0,0,0,0,2835,0.875,157
L47367,L,25.05000000000001,35.25,1379,43.1,65,0,0,0,0,0,0,0,2925,0.6530303030303031,165
L47368,L,25.150000000000034,35.35000000000002,1606,33.6,67,0,0,0,0,0,0,0,3015,0.49411764705882355,340
M15049,M,25.150000000000034,35.25,1539,43.4,69,0,0,0,0,0,0,0,3105,0.62,216
L47370,L,25.05000000000001,35.25,1477,49.9,72,0,0,0,0,0,0,0,3240,0.6835616438356165,326
L47371,L,25.05000000000001,35.25,1666,34.6,74,0,0,0,0,0,0,0,3330,0.4613333333333334,246
H29606,H,25.05000000000001,35.25,1398,51.8,76,0,0,0,0,0,0,0,3420,0.6727272727272727,255
H29607,H,25.05000000000001,35.25,1678,34.6,81,0,0,0,0,0,0,0,3645,0.42195121951219516,179
M15054,M,25.05000000000001,35.35000000000002,2678,10.7,86,1,0,0,1,0,0,1,3870,0.12298850574712643,42
L47375,L,25.150000000000034,35.35000000000002,1453,42.9,89,0,0,0,0,0,0,0,4005,0.4766666666666666,350
H29610,H,25.150000000000034,35.450000000000045,1432,49.5,91,0,0,0,0,0,0,0,4095,0.5380434782608695,330
M15057,M,25.25,35.450000000000045,1527,40.9,96,0,0,0,0,0,0,0,4320,0.4216494845360825,289
L47378,L,25.25,35.55000000000001,1588,35.0,99,0,0,0,0,0,0,0,4455,0.35,214
L47379,L,25.25,35.450000000000045,1433,47.1,101,0,0,0,0,0,0,0,4545,0.46176470588235297,241
L47380,L,25.25,35.450000000000045,1609,35.0,103,0,0,0,0,0,0,0,4635,0.33653846153846156,168
L47381,L,25.150000000000034,35.35000000000002,1575,41.2,105,0,0,0,0,0,0,0,4725,0.3886792452830189,318
M15062,M,25.25,35.35000000000002,1636,35.7,107,0,0,0,0,0,0,0,4815,0.3305555555555556,277
L47383,L,25.25,35.35000000000002,1490,37.9,110,0,0,0,0,0,0,0,4950,0.34144144144144145,197
L47384,L,25.25,35.35000000000002,1741,32.8,112,0,0,0,0,0,0,0,5040,0.2902654867256637,313
M15065,M,25.350000000000023,35.450000000000045,1344,53.0,114,0,0,0,0,0,0,0,5130,0.4608695652173913,237
L47386,L,25.350000000000023,35.55000000000001,1609,35.3,117,0,0,0,0,0,0,0,5265,0.29915254237288136,240
M15067,M,25.25,35.55000000000001,1421,60.7,119,1,0,0,1,0,0,1,5355,0.5058333333333334,19
L47388,L,25.25,35.450000000000045,1591,36.7,122,0,0,0,0,0,0,0,5490,0.2983739837398374,212
L47389,L,25.25,35.450000000000045,1477,44.0,124,0,0,0,0,0,0,0,5580,0.352,169
L47390,L,25.25,35.55000000000001,1523,36.1,126,0,0,0,0,0,0,0,5670,0.284251968503937,360
L47391,L,25.350000000000023,35.55000000000001,1575,33.9,128,0,0,0,0,0,0,0,5760,0.2627906976744186,319
H29626,H,25.25,35.55000000000001,1344,52.9,130,0,0,0,0,0,0,0,5850,0.40381679389312974,215
L47393,L,25.25,35.55000000000001,1386,44.9,135,0,0,0,0,0,0,0,6075,0.3301470588235294,197
M15074,M,25.150000000000034,35.450000000000045,1589,37.1,137,0,0,0,0,0,0,0,6165,0.2688405797101449,166
L47395,L,25.150000000000034,35.450000000000045,1548,40.3,140,0,0,0,0,0,0,0,6300,0.2858156028368794,296
L47396,L,25.150000000000034,35.450000000000045,1499,38.3,142,0,0,0,0,0,0,0,6390,0.2678321678321678,336
L47397,L,25.150000000000034,35.35000000000002,1664,31.6,144,0,0,0,0,0,0,0,6480,0.21793103448275863,275
L47398,L,25.150000000000034,35.450000000000045,1447,38.1,146,0,0,0,0,0,0,0,6570,0.25918367346938775,155
M15079,M,25.150000000000034,35.35000000000002,1434,46.2,148,0,0,0,0,0,0,0,6660,0.31006711409395976,305
L47400,L,25.150000000000034,35.35000000000002,1416,52.7,151,0,0,0,0,0,0,0,6795,0.34671052631578947,330
H29635,H,25.25,35.35000000000002,1827,24.3,153,0,0,0,0,0,0,0,6885,0.1577922077922078,289
L47402,L,25.25,35.450000000000045,1304,45.0,158,0,0,0,0,0,0,0,7110,0.2830188679245283,336
L47403,L,25.25,35.450000000000045,1569,34.4,160,0,0,0,0,0,0,0,7200,0.21366459627329193,151
L47404,L,25.150000000000034,35.450000000000045,1584,29.3,162,0,0,0,0,0,0,0,7290,0.17975460122699388,261
L47405,L,25.150000000000034,35.35000000000002,1362,53.8,164,0,0,0,0,0,0,0,7380,0.32606060606060605,298
L47406,L,25.150000000000034,35.25,1329,49.2,166,0,0,0,0,0,0,0,7470,0.2946107784431138,156
L47407,L,25.150000000000034,35.35000000000002,1539,36.1,168,0,0,0,0,0,0,0,7560,0.21360946745562132,209
M15088,M,25.150000000000034,35.35000000000002,1629,37.1,170,0,0,0,0,0,0,0,7650,0.21695906432748538,182
L47409,L,25.150000000000034,35.35000000000002,1538,32.2,173,0,0,0,0,0,0,0,7785,0.18505747126436783,169
L47410,L,25.150000000000034,35.450000000000045,1570,34.8,175,0,0,0,0,0,0,0,7875,0.19772727272727272,223
L47411,L,25.150000000000034,35.25,1408,43.1,177,0,0,0,0,0,0,0,7965,0.24213483146067416,282
L47412,L,25.05000000000001,35.25,1424,47.6,179,0,0,0,0,0,0,0,8055,0.2644444444444444,159
L47413,L,25.05000000000001,35.25,1512,34.9,181,0,0,0,0,0,0,0,8145,0.19175824175824174,356
L47414,L,25.05000000000001,35.25,1478,42.9,183,0,0,0,0,0,0,0,8235,0.23315217391304346,177
M15095,M,24.950000000000045,35.150000000000034,1680,33.7,185,0,0,0,0,0,0,0,8325,0.18118279569892476,329
L47416,L,24.950000000000045,35.150000000000034,1495,38.7,188,0,0,0,0,0,0,0,8460,0.20476190476190478,200
M15097,M,24.850000000000023,34.950000000000045,1552,36.6,190,0,0,0,0,0,0,0,8550,0.19162303664921468,208
L47418,L,24.75,34.950000000000045,1393,50.3,193,0,0,0,0,0,0,0,8685,0.2592783505154639,225
L47419,L,24.850000000000023,35.05000000000001,1611,30.6,195,0,0,0,0,0,0,0,8775,0.15612244897959185,158
M15100,M,24.850000000000023,34.950000000000045,1339,51.6,197,0,0,0,0,0,0,0,8865,0.2606060606060606,210
L47421,L,24.850000000000023,34.950000000000045,1777,24.3,200,0,0,0,0,0,0,0,9000,0.1208955223880597,275
L47422,L,24.850000000000023,35.05000000000001,1348,58.8,202,1,0,0,0,1,0,1,9090,0.28965517241379307,51
L47423,L,24.850000000000023,35.05000000000001,1442,44.1,204,0,0,0,0,0,0,0,9180,0.2151219512195122,311
